Symbol	Description
EURUSD	Euro Dollar / US Dollar
EURUYU	Euro Dollar / Peso Uruguayo
EURUZS	Euro Dollar / Uzbekistan Sum
EURVND	Euro Dollar / Dong
EURYER	Euro Dollar / Yemeni Rial
EURZAR	Euro Dollar / South African Rand
FJDGBP	Fiji Dollar / Pound Sterling
FJDUSD	Fiji Dollar / US Dollar
GBPAED	Pound Sterling / UAE Dirham
GBPALL	Pound Sterling / Lek
GBPARS	Pound Sterling / Argentine Peso
GBPAUD	Pound Sterling / Australian Dollar
GBPBDT	Pound Sterling / Taka
GBPBGN	Pound Sterling / Bulgarian Lev
GBPBHD	Pound Sterling / Bahraini Dinar
GBPBIF	Pound Sterling / Burundi Franc
GBPBMD	Pound Sterling / Bermudian Dollar
GBPBND	Pound Sterling / Brunei Dollar
GBPBRL	Pound Sterling / Brazilian Real
GBPBWP	Pound Sterling / Pula
GBPCAD	Pound Sterling / Canadian Dollar
GBPCHF	Pound Sterling / Swiss Franc
GBPCLP	Pound Sterling / Chilean Peso
GBPCNH	Pound Sterling / Renminbi (Offshore)
GBPCNY	Pound Sterling / Yuan Renminbi
GBPCOP	Pound Sterling / Colombian Peso
GBPCRC	Pound Sterling / Costa Rican Colon
GBPCZK	Pound Sterling / Czech Koruna
GBPDJF	Pound Sterling / Djibouti Franc
GBPDKK	Pound Sterling / Danish Krone
GBPDOP	Pound Sterling / Dominican Peso
GBPDZD	Pound Sterling / Algerian Dinar
GBPEGP	Pound Sterling / Egyptian Pound
GBPETB	Pound Sterling / Ethiopian Birr
GBPEUR	Pound Sterling / Euro Dollar
GBPFJD	Pound Sterling / Fiji Dollar
GBPGTQ	Pound Sterling / Guatemalan Quetzal
GBPHKD	Pound Sterling / Hong Kong Dollar
GBPHNL	Pound Sterling / Honduran Lempira
GBPHRK	Pound Sterling / Croatian kuna
GBPHTG	Pound Sterling / Gourde
GBPHUF	Pound Sterling / Hungarian Forint
GBPIDR	Pound Sterling / Indian Rupiah
GBPILS	Pound Sterling / New Israeli Sheqel
GBPINR	Pound Sterling / Indian Rupee
GBPIQD	Pound Sterling / Iraqi Dinar
GBPISK	Pound Sterling / Iceland Krona
GBPJMD	Pound Sterling / Jamaican Dollar
GBPJOD	Pound Sterling / Jordanian Dinar
GBPJPY	Pound Sterling / Japanese Yen
GBPKES	Pound Sterling / Kenyan Shilling
GBPKRW	Pound Sterling / Korean Won
GBPKWD	Pound Sterling / Kuwaiti Dinar
GBPKZT	Pound Sterling / Tenge
GBPLBP	Pound Sterling / Lebanese Pound
GBPLKR	Pound Sterling / Sri Lanka Rupee
GBPMAD	Pound Sterling / Moroccan Dirham
GBPMUR	Pound Sterling / Mauritius Rupee
GBPMVR	Pound Sterling / Rufiyaa
GBPMWK	Pound Sterling / Kwacha
GBPMXN	Pound Sterling / Mexican Peso
GBPMYR	Pound Sterling / Malaysian Ringgit
GBPNGN	Pound Sterling / Naira
GBPNIO	Pound Sterling / Cordoba Oro
GBPNOK	Pound Sterling / Norwegian Krone
GBPNZD	Pound Sterling / New Zealand Dollar
GBPOMR	Pound Sterling / Rial Omani
GBPPEN	Pound Sterling / Nuevo Sol
GBPPGK	Pound Sterling / Papua New Guinea Kina
GBPPHP	Pound Sterling / Philippine Peso
GBPPKR	Pound Sterling / Pakistan Rupee
GBPPLN	Pound Sterling / Polish Zloty
GBPQAR	Pound Sterling / Qatari Rial
GBPRON	Pound Sterling / Romanian Leu
GBPRUB	Pound Sterling / Russian Ruble
GBPSAR	Pound Sterling / Saudi Riyal
GBPSCR	Pound Sterling / Seychelles Rupee
GBPSEK	Pound Sterling / Swedish Krona
GBPSGD	Pound Sterling / Singapore Dollar
GBPSZL	Pound Sterling / Lilangeni
GBPTHB	Pound Sterling / Thai Baht
GBPTND	Pound Sterling / Tunisian Dinar
GBPTRY	Pound Sterling / Turkish Lira
GBPTTD	Pound Sterling / Trinidad and Tobago Dollar
GBPTWD	Pound Sterling / New Taiwan Dollar
GBPUAH	Pound Sterling / Hryvnia
GBPUSD	Pound Sterling / US Dollar
GBPVND	Pound Sterling / Dong
GBPXAF	Pound Sterling / CFA Franc BEAC
GBPXCD	Pound Sterling / East Caribbean Dollar
GBPXPF	Pound Sterling / CFP Franc
GBPZAR	Pound Sterling / South African Rand
GHSEUR	Cedi / Euro Dollar
GHSUSD	Cedi / US Dollar
GTQGBP	Guatemalan Quetzal / Pound Sterling
HKDARS	Hong Kong Dollar / Argentine Peso
HKDAUD	Hong Kong Dollar / Australian Dollar
HKDBRL	Hong Kong Dollar / Brazilian Real
HKDCAD	Hong Kong Dollar / Canadian Dollar
HKDCHF	Hong Kong Dollar / Swiss Franc
HKDCNY	Hong Kong Dollar / Yuan Renminbi
HKDDKK	Hong Kong Dollar / Danish Krone
HKDEUR	Hong Kong Dollar / Euro Dollar
HKDGBP	Hong Kong Dollar / Pound Sterling
HKDIDR	Hong Kong Dollar / Indian Rupiah
HKDINR	Hong Kong Dollar / Indian Rupee
HKDJPY	Hong Kong Dollar / Japanese Yen
